,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
1356,CI-6542,373605,Closed,raphose,2022-03-07 12:32:00,25/Mar/22 12:00 AM,10/May/22 3:27 PM,FBT-First Business Travel,Project,373605,2022-03-07 12:32:00,2022-03-29 11:34:00,21 days 23:02:00.000000000,527.03
1357,CI-6541,373603,Closed,aklabisz,2022-03-07 12:31:00,14/Mar/22 12:00 AM,04/Apr/22 11:38 AM,Endress Hauser,Service Request (SR),373603,2022-03-07 12:31:00,2022-03-21 14:46:00,14 days 02:15:00.000000000,338.25
1358,CI-6540,373597,Closed,ssanz,2022-03-07 12:27:00,14/Mar/22 12:00 AM,04/Apr/22 1:37 PM,Hugo Boss,Service Request (SR),373597,2022-03-07 12:27:00,2022-04-04 09:17:00,27 days 20:50:00.000000000,668.83
1359,CI-6539,373581,Closed,raphose,2022-03-07 12:10:00,25/Mar/22 12:00 AM,29/Mar/22 4:26 PM,DERPART,Project,373581,2022-03-07 12:10:00,2022-03-29 16:26:00,22 days 04:16:00.000000000,532.27
1360,CI-6538,373578,Closed,raphose,2022-03-07 12:08:00,25/Mar/22 12:00 AM,10/May/22 3:26 PM,DERPART,Project,373578,2022-03-07 12:08:00,2022-03-16 16:01:00,9 days 03:53:00.000000000,219.88
1361,CI-6537,373571,Closed,achattopadhyay,2022-03-07 11:38:00,25/Mar/22 12:00 AM,22/Apr/22 1:33 PM,Rheinmetall,Project,373571,2022-03-07 11:38:00,2022-04-22 13:33:00,46 days 01:55:00.000000000,1105.92
1362,CI-6536,373467,Closed,guinoo,2022-03-07 06:10:00,11/Mar/22 12:00 AM,09/Mar/22 10:44 AM,Enercon,Service Request (SR),373467,2022-03-07 06:10:00,2022-03-09 02:02:00,1 days 19:52:00.000000000,43.87
1363,CI-6535,373391,Closed,aruizrobles,2022-03-04 15:00:00,11/Mar/22 12:00 AM,17/Mar/22 5:54 PM,Numiga,Service Request (SR),373391,2022-03-04 15:00:00,2022-03-17 16:40:00,13 days 01:40:00.000000000,313.67
1364,CI-6534,373383,Closed,aruizrobles,2022-03-04 14:23:00,08/Mar/22 12:00 AM,09/Mar/22 5:10 PM,Numiga,Service Request (SR),373383,2022-03-04 14:23:00,2022-03-09 11:19:00,4 days 20:56:00.000000000,116.93
1365,CI-6533,373277,Closed,aruizrobles,2022-03-04 09:36:00,25/Mar/22 12:00 AM,04/Apr/22 5:58 PM,Numiga,Service Request (SR),373277,2022-03-04 09:36:00,2022-04-04 12:53:00,31 days 03:17:00.000000000,747.28
1366,CI-6532,373244,Closed,guinoo,2022-03-04 07:01:00,11/Mar/22 12:00 AM,18/Mar/22 12:51 AM,Ineos,Service Request (SR),373244,2022-03-04 07:01:00,2022-03-17 13:21:00,13 days 06:20:00.000000000,318.33
1367,CI-6531,373240,Closed,guinoo,2022-03-04 04:52:00,10/Mar/22 12:00 AM,20/Apr/22 4:06 AM,Ineos,Service Request (SR),373240,2022-03-04 04:52:00,2022-04-19 10:53:00,46 days 06:01:00.000000000,1110.02
1368,CI-6530,373237,Closed,guinoo,2022-03-04 01:47:00,10/Mar/22 12:00 AM,21/Mar/22 1:24 AM,Spiegel,Service Request (SR),373237,2022-03-04 01:47:00,2022-03-18 10:35:00,14 days 08:48:00.000000000,344.8
1369,CI-6529,373211,Closed,nsanchez,2022-03-03 15:55:00,11/Mar/22 12:00 AM,05/Apr/22 1:53 PM,Hugo Boss,Service Request (SR),373211,2022-03-03 15:55:00,2022-04-04 10:22:00,31 days 18:27:00.000000000,762.45
1370,CI-6528,373200,Closed,nsanchez,2022-03-03 15:33:00,10/Mar/22 12:00 AM,22/Mar/22 2:43 PM,Hugo Boss,Service Request (SR),373200,2022-03-03 15:33:00,2022-03-17 09:00:00,13 days 17:27:00.000000000,329.45
1371,CI-6527,373140,Closed,ssanz,2022-03-03 13:37:00,10/Mar/22 12:00 AM,09/Mar/22 4:21 PM,Porsche,Incident Request (IR),373140,2022-03-03 13:37:00,2022-03-09 15:14:00,6 days 01:37:00.000000000,145.62
1372,CI-6526,373103,Closed,ssanz,2022-03-03 11:54:00,09/Mar/22 12:00 AM,23/Mar/22 2:50 PM,ProcurX,Incident Request (IR),373103,2022-03-03 11:54:00,,,
1373,CI-6525,373101,Closed,aruizrobles,2022-03-03 11:49:00,11/Mar/22 12:00 AM,11/Mar/22 8:35 AM,Numiga,Service Request (SR),373101,2022-03-03 11:49:00,2022-03-11 01:18:00,7 days 13:29:00.000000000,181.48
