Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8201,450074,Closed,mkuchciak,2023-02-21 11:27:00,24/Mar/23 12:00 AM,2023-03-17 10:10:00,Customer not yet listed,Service Request (SR),450074.0,10461.0,11917.0,0.0
CI-8200,450072,Closed,mkuchciak,2023-02-21 11:25:00,24/Mar/23 12:00 AM,2023-03-17 10:10:00,Customer not yet listed,Service Request (SR),450072.0,10319.0,11537.0,0.0
CI-8199,450069,Closed,mkuchciak,2023-02-21 11:24:00,24/Mar/23 12:00 AM,2023-03-17 10:10:00,Customer not yet listed,Service Request (SR),450069.0,10145.0,11799.0,0.0
CI-8198,450067,Closed,mkuchciak,2023-02-21 11:23:00,24/Mar/23 12:00 AM,2023-03-17 10:10:00,Customer not yet listed,Service Request (SR),450067.0,8743.0,11535.0,0.0
CI-8195,450047,Closed,mkuchciak,2023-02-21 11:09:00,24/Mar/23 12:00 AM,2023-02-24 14:15:00,Customer not yet listed,Service Request (SR),450047.0,3174.0,4424.0,82.0
CI-8194,450045,Closed,mkuchciak,2023-02-21 11:03:00,24/Mar/23 12:00 AM,2023-02-24 14:14:00,Customer not yet listed,Service Request (SR),450045.0,135.00000000000003,3057.0,1454.0
CI-8192,449794,Closed,nsanchez,2023-02-20 14:31:00,02/Mar/23 12:00 AM,2023-02-22 15:01:00,OBB,Incident Request (IR),449794.0,2591.0,2910.0,0.0
CI-8190,449259,Closed,skarja,2023-02-17 14:48:00,24/Feb/23 12:00 AM,2023-04-05 12:08:00,Eberspacher,Service Request (SR),449259.0,17101.000000000004,22689.0,25040.0
CI-8190,449259,Closed,skarja,2023-02-17 14:48:00,24/Feb/23 12:00 AM,2023-04-05 12:08:00,Eberspacher,Service Request (SR),449259.0,2760.0,22689.0,25040.0
CI-8189,449233,Closed,achattopadhyay,2023-02-17 14:13:00,24/Feb/23 12:00 AM,2023-02-28 14:53:00,Heidelberg Cement,Service Request (SR),449233.0,10125.0,15838.000000000002,42.0
CI-8187,449164,Closed,nsanchez,2023-02-17 13:00:00,28/Feb/23 12:00 AM,2023-02-23 15:29:00,apoBank,Service Request (SR),449164.0,8775.0,8775.0,14.0
CI-8185,449035,Closed,yutaka,2023-02-17 09:59:00,20/Feb/23 12:00 AM,2023-04-04 15:22:00,Munckhof,Service Request (SR),449035.0,5423.0,5424.0,0.0
CI-8184,448971,Closed,yutaka,2023-02-17 01:56:00,24/Feb/23 12:00 AM,2023-04-04 16:33:00,Hugo Boss,Service Request (SR),448971.0,1.0000000000000002,6229.0,8510.000000000002
CI-8184,448971,Closed,yutaka,2023-02-17 01:56:00,24/Feb/23 12:00 AM,2023-04-04 16:33:00,Hugo Boss,Service Request (SR),448971.0,1.0000000000000002,6229.0,8510.000000000002
CI-8183,448966,Closed,yutaka,2023-02-17 00:10:00,24/Feb/23 12:00 AM,2023-02-27 14:48:00,Wacker,Service Request (SR),448966.0,0.0,7219.0,8059.000000000001
CI-8181,448929,Closed,nsanchez,2023-02-16 16:22:00,28/Feb/23 12:00 AM,2023-02-24 15:13:00,Endress Hauser,Service Request (SR),448929.0,10062.0,11410.0,41.0
CI-8180,448906,Closed,achattopadhyay,2023-02-16 15:32:00,20/Feb/23 12:00 AM,2023-02-20 17:33:00,Endress Hauser,Service Request (SR),448906.0,41.0,5850.0,31.000000000000004
CI-8179,448809,Closed,aruizrobles,2023-02-16 10:46:00,23/Feb/23 12:00 AM,2023-03-02 09:31:00,ProcurX,Service Request (SR),448809.0,7231.0,19858.0,227.0
CI-8178,448801,Closed,aruizrobles,2023-02-16 10:22:00,20/Feb/23 12:00 AM,2023-02-16 18:10:00,Numiga,Service Request (SR),448801.0,468.0,468.0,0.0
CI-8176,448625,Closed,ssanz,2023-02-15 15:47:00,22/Feb/23 12:00 AM,2023-04-14 13:31:00,Allianz,Service Request (SR),448625.0,10063.0,13983.0,12941.0
CI-8170,448364,Closed,gmalarski,2023-02-15 08:36:00,17/Feb/23 12:00 AM,2023-02-16 15:59:00,Customer not yet listed,Service Request (SR),448364.0,41.0,1883.0,0.0
CI-8168,448338,Closed,yutaka,2023-02-15 02:30:00,20/Feb/23 12:00 AM,2023-03-06 11:13:00,Vaillant,Incident Request (IR),448338.0,9381.0,19344.0,8539.000000000002
CI-8167,448336,Closed,yutaka,2023-02-15 02:08:00,24/Feb/23 12:00 AM,2023-03-08 01:31:00,Amadeus,Incident Request (IR),448336.0,10508.0,20137.0,10066.0
CI-8166,448333,Closed,yutaka,2023-02-15 01:22:00,22/Feb/23 12:00 AM,2023-03-06 23:41:00,Porsche,Service Request (SR),448333.0,12374.0,19465.0,9234.0
CI-8163,448077,Closed,yutaka,2023-02-14 01:54:00,21/Feb/23 12:00 AM,2023-03-17 00:51:00,Continental,Service Request (SR),448077.0,76.0,26080.0,5966.0
CI-8163,448077,Closed,yutaka,2023-02-14 01:54:00,21/Feb/23 12:00 AM,2023-03-17 00:51:00,Continental,Service Request (SR),448077.0,2293.0,26080.0,5966.0
CI-8163,448077,Closed,yutaka,2023-02-14 01:54:00,21/Feb/23 12:00 AM,2023-03-17 00:51:00,Continental,Service Request (SR),448077.0,19053.0,26080.0,5966.0
CI-8162,448042,Closed,nsanchez,2023-02-13 16:37:00,13/Feb/23 12:00 AM,2023-02-14 10:07:00,Porsche,Incident Request (IR),448042.0,1042.0000000000002,1042.0000000000002,8.000000000000002
CI-8158,447936,Closed,yutaka,2023-02-13 12:17:00,17/Feb/23 12:00 AM,2023-03-10 07:43:00,Continental,Service Request (SR),447936.0,9.0,25595.0,10131.0
CI-8158,447936,Closed,yutaka,2023-02-13 12:17:00,17/Feb/23 12:00 AM,2023-03-10 07:43:00,Continental,Service Request (SR),447936.0,11661.0,25595.0,10131.0
CI-8151,447784,Closed,yutaka,2023-02-13 02:59:00,17/Feb/23 12:00 AM,2023-03-10 07:51:00,Vaillant,Incident Request (IR),447784.0,6196.0,10382.0,25910.0
CI-8150,447782,Closed,yutaka,2023-02-13 01:17:00,17/Feb/23 12:00 AM,2023-02-28 01:37:00,Grupo Red Electrica,Service Request (SR),447782.0,12367.0,20320.0,1300.0
CI-8147,447585,Closed,nsanchez,2023-02-10 09:21:00,15/Feb/23 12:00 AM,2023-02-15 11:06:00,OBB,Service Request (SR),447585.0,4328.000000000001,4836.0,2469.0
CI-8145,447508,Closed,devries,2023-02-09 17:06:00,09/Feb/23 12:00 AM,2023-02-09 18:34:00,Deichmann,Service Request (SR),447508.0,2.0000000000000004,86.0,2.0000000000000004
CI-8141,447271,Closed,devries,2023-02-09 09:44:00,09/Feb/23 12:00 AM,2023-02-15 10:08:00,Deichmann,Service Request (SR),447271.0,2.0000000000000004,8606.000000000002,58.0
CI-8140,447205,Closed,yutaka,2023-02-09 00:24:00,16/Feb/23 12:00 AM,2023-02-27 10:46:00,Burda,Service Request (SR),447205.0,616.0,616.0,25926.0
CI-8139,447117,Closed,nsanchez,2023-02-08 15:00:00,17/Feb/23 12:00 AM,2023-03-01 10:38:00,Allianz,Service Request (SR),447117.0,1336.0,15950.000000000002,7092.0
